FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,TOTAL,AREA,UTM_X,UTM_Y,GRAD_X,GRAD_Y
66,67,TRISTAN,70,OFRA - COSTA SUR,10,14,22,27,21,21,42,28,33,23,27,34,42,57,37,20,11,3,2,0,0,474,16,16,14,26,32,31,33,41,33,46,35,36,67,59,31,20,12,6,4,0,0,558,1032,207831,375044,3148599,-16,28
67,68,CAMINO DEL HIERRO,16,OFRA - COSTA SUR,13,14,22,27,28,36,31,33,36,46,47,45,37,30,26,15,14,2,3,0,1,506,13,27,16,27,27,50,29,38,44,49,46,46,52,34,34,17,18,16,4,3,1,591,1097,75494,374715,3148552,-16,28
68,69,GARCIA ESCAMEZ,33,OFRA - COSTA SUR,42,40,53,71,76,65,93,84,103,119,95,96,93,70,57,42,24,26,11,1,3,1264,26,51,56,59,48,51,87,110,89,101,110,88,94,88,94,69,68,65,27,11,2,1394,2658,217116,375224,3148195,-16,28
69,70,LAS CABRITAS,15,OFRA - COSTA SUR,12,14,10,11,11,14,6,12,22,18,20,18,9,8,9,4,10,2,0,0,0,210,8,13,9,10,8,13,16,24,21,19,22,14,15,10,7,9,13,5,1,0,0,237,447,93231,374527,3147715,-16,28
70,71,SAN PIO X,57,OFRA - COSTA SUR,18,19,18,13,25,28,36,35,31,43,39,39,33,35,15,12,7,2,0,0,1,449,15,13,18,19,27,27,33,37,22,31,39,38,46,26,14,14,17,14,4,3,0,457,906,136826,374097,3147526,-16,28
71,72,SAN ANTONIO,56,OFRA - COSTA SUR,23,41,46,55,40,62,58,59,64,76,73,75,46,38,20,22,17,10,0,0,1,826,27,40,40,64,68,51,54,62,75,95,82,65,53,40,23,18,22,24,6,0,1,910,1736,65610,373827,3148039,-16,28
72,73,FINCA LA MULTA,31,OFRA - COSTA SUR,11,10,14,14,18,31,22,30,26,28,23,34,20,21,13,1,8,3,0,0,0,327,14,21,14,14,17,26,41,28,23,21,37,27,18,14,14,12,8,8,3,0,0,360,687,72692,373721,3148335,-16,28
73,74,SANTA CLARA,59,OFRA - COSTA SUR,55,79,86,93,94,99,122,133,157,158,136,138,100,86,79,53,42,22,8,1,1,1742,55,77,82,74,93,110,118,124,124,133,150,150,148,107,116,78,71,36,23,5,3,1877,3619,285766,373925,3148483,-16,28
74,75,VISTABELLA,78,OFRA - COSTA SUR,32,41,55,33,44,49,53,66,85,67,67,65,32,43,47,34,23,12,2,1,1,852,30,37,43,38,45,51,57,60,92,84,69,50,55,51,57,26,30,22,10,1,0,908,1760,174911,374254,3149053,-16,28
75,76,CUATRO TORRES,26,SALUD - LA SALLE,68,73,73,71,80,93,113,119,165,129,119,133,73,67,73,54,41,29,7,3,2,1585,48,63,72,69,91,86,99,128,133,153,133,124,100,86,88,88,66,53,27,5,2,1714,3299,174981,377320,3148983,-16,28
76,77,EL CABO,14,SALUD - LA SALLE,9,19,20,20,15,17,18,13,24,27,34,22,15,21,21,13,3,2,1,0,0,314,6,18,16,19,14,18,17,23,34,40,32,30,21,23,16,10,10,4,1,0,0,352,666,143027,377699,3149090,-16,28
77,78,LOS HOTELES,35,CENTRO - IFARA,36,39,40,43,33,32,28,41,70,59,62,57,44,34,34,33,18,21,4,1,0,729,26,44,45,45,32,32,36,53,59,75,60,51,41,40,65,43,33,28,14,6,2,830,1559,136302,377004,3149927,-16,28
78,79,ZONA RAMBLA,80,CENTRO - IFARA,45,64,52,69,65,72,80,90,109,109,120,87,77,73,52,43,29,17,10,1,1,1265,40,72,61,54,64,95,100,99,101,113,119,127,106,79,84,57,54,45,24,4,0,1498,2763,77780,376764,3149752,-16,28
79,80,ZONA CENTRO,79,CENTRO - IFARA,175,159,170,166,209,246,278,352,381,352,341,294,275,206,194,136,112,63,29,7,4,4149,132,154,164,169,212,319,287,362,358,397,378,350,338,257,284,233,191,124,82,21,3,4815,8964,767871,377705,3149611,-16,28
